"","x","y","SUMgammaE"
"138",14.5,61.5,0.13125633598891
"139",14.5,62.5,0.124513167727674
"140",15.5,62.5,0.13650163800639
"141",12.5,58.5,0.0405765386840104
"142",13.5,58.5,0.0836476384105357
"143",12.5,59.5,0.0372215778340334
"144",13.5,59.5,0.0895259947010729
"145",14.5,59.5,0.135595806119501
"146",12.5,60.5,0.0281142875108751
"147",13.5,60.5,0.0789847984147178
"148",14.5,60.5,0.140632724247521
"149",15.5,60.5,0.127863120722485
"150",15.5,61.5,0.133765044053475
"151",12.5,57.5,0.0323866953981502
"152",13.5,57.5,0.0586527280630056
"153",14.5,58.5,0.112649653721161
"154",15.5,58.5,0.0875027855778851
"155",15.5,59.5,0.111763539535673
"156",12.5,56.5,0.00868081373603898
"157",13.5,56.5,0.0141304488623228
"158",14.5,56.5,0.0302089353696068
"159",14.5,57.5,0.0762834198442283
"160",15.5,57.5,0.0609139252361215
"161",12.5,54.5,-0.0434731249515216
"162",13.5,54.5,-0.0612670806016853
"163",12.5,55.5,-0.0232144381275472
"164",13.5,55.5,-0.0358457021294822
"165",14.5,55.5,-0.0125344939020501
"166",15.5,56.5,0.0346967788028839
"167",12.5,53.5,-0.03926515531188
"168",13.5,53.5,-0.0456777285369676
"169",14.5,53.5,-0.00270233825998706
"170",14.5,54.5,-0.0270589406513552
"171",15.5,54.5,0.011877105768736
"172",15.5,55.5,0.0145031687108225
"173",12.5,51.5,-0.00433886556264854
"174",13.5,51.5,0.020946540953162
"175",14.5,51.5,0.0666791699988094
"176",12.5,52.5,-0.0199852704363461
"177",13.5,52.5,-0.00785365606939898
"178",14.5,52.5,0.0386845145778525
"179",15.5,52.5,0.0553147017201006
"180",15.5,53.5,0.0302704298425121
"181",12.5,50.5,0.000679173285425812
"182",13.5,50.5,0.0307692767730927
"183",14.5,50.5,0.0745176538789072
"184",15.5,51.5,0.0696582377711302
"185",12.5,49.5,-0.00151835488833417
"186",13.5,49.5,0.0291493310884825
"187",14.5,49.5,0.07237282569602
"188",15.5,50.5,0.0714656709691027
"189",12.5,47.5,-0.0274256509140194
"190",12.5,48.5,-0.0105817783680098
"191",13.5,48.5,0.0175990753443183
"192",14.5,48.5,0.06182398473468
"193",15.5,49.5,0.0684193052006141
"194",12.5,46.5,-0.0437061426670931
"195",13.5,46.5,-0.0291585147246973
"196",14.5,46.5,0.0125973159902187
"197",15.5,46.5,0.0238565112369796
"198",13.5,47.5,-0.00592975723111711
"199",14.5,47.5,0.0385942781781821
"200",15.5,47.5,0.0446159678727362
"201",15.5,48.5,0.0609753667201215
"202",12.5,44.5,-0.037804408673178
"203",13.5,44.5,-0.0168914370888869
"204",14.5,44.5,0.0113768703619494
"205",15.5,44.5,0.0079341092386835
"206",12.5,45.5,-0.04733004537535
"207",13.5,45.5,-0.033172990938312
"208",14.5,45.5,0.00244102551917615
"209",15.5,45.5,0.0102945701704691
"210",14.5,41.5,0.0355034336716088
"211",12.5,42.5,-0.0175070133874998
"212",13.5,42.5,0.0156318698248974
"213",14.5,42.5,0.0352972435624603
"214",15.5,42.5,0.0143119815270095
"215",12.5,43.5,-0.0255508639263746
"216",13.5,43.5,0.00329752453215107
"217",14.5,43.5,0.0259034413834613
"218",15.5,43.5,0.0110265043241956
"219",13.5,39.5,-0.0241516227502118
"220",14.5,39.5,-0.0250437695039432
"221",15.5,39.5,-0.0262051910772384
"222",12.5,40.5,-0.0154862650196459
"223",13.5,40.5,0.0061939665774016
"224",14.5,40.5,0.0176993889339291
"225",15.5,40.5,0.0031301326453991
"226",12.5,41.5,-0.01366596988532
"227",13.5,41.5,0.0181733698443397
"228",15.5,41.5,0.0143747389740529
"229",13.5,37.5,-0.0636972856775759
"230",14.5,37.5,-0.102408632658217
"231",15.5,37.5,-0.0870362464612069
"232",12.5,38.5,-0.0329624038317191
"233",13.5,38.5,-0.0572873330752769
"234",14.5,38.5,-0.0765055505455246
"235",15.5,38.5,-0.0640582196146098
"236",12.5,39.5,-0.0247614674171226
"237",15.5,34.5,-0.0162120772255942
"238",13.5,35.5,0.0159298745955208
"239",14.5,35.5,-0.0414328350485303
"240",15.5,35.5,-0.051859393915933
"241",12.5,36.5,0.00496119428668353
"242",13.5,36.5,-0.0324306644397899
"243",14.5,36.5,-0.0853406200673236
"244",15.5,36.5,-0.0806491759457911
"245",12.5,37.5,-0.024399689641208
"246",14.5,33.5,0.0395482836712463
"247",15.5,33.5,0.0175153464516796
"248",13.5,34.5,0.0556929136785238
"249",14.5,34.5,0.00352785415207935
"250",12.5,35.5,0.0409557080408257
"251",12.5,25.5,-0.0590454165668697
"252",12.5,26.5,-0.0362260329200495
"253",13.5,26.5,-0.0294833276282475
"254",12.5,27.5,-0.000925748229016453
"255",13.5,27.5,0.0051853360017338
"256",14.5,27.5,0.00386131661833591
"257",12.5,28.5,0.0333436636181404
"258",13.5,28.5,0.0352679252757565
"259",15.5,27.5,-0.00306801064130265
"260",14.5,28.5,0.024222142707349
"261",12.5,29.5,0.0626980513045749
"262",13.5,29.5,0.0618501474080059
"263",15.5,28.5,0.0154707901368245
"264",14.5,29.5,0.044250807457194
"265",12.5,30.5,0.0857319436369685
"266",13.5,30.5,0.0866466125653229
"267",15.5,29.5,0.0342214608411046
"268",14.5,30.5,0.0654889877676299
"269",12.5,31.5,0.0972239561219121
"270",13.5,31.5,0.100603232730736
"271",15.5,30.5,0.0514977914998955
"272",14.5,31.5,0.0759342021345052
"273",15.5,31.5,0.0573091804322969
"274",12.5,32.5,0.0952829793716307
"275",13.5,32.5,0.0971687277580967
"276",14.5,32.5,0.0658381416276156
"277",12.5,33.5,0.0848659735231751
"278",13.5,33.5,0.0811729586478091
"279",15.5,32.5,0.0445895517815677
"280",12.5,34.5,0.0681925939342582
