"","x","y","SUMgammaE"
"137",42.5,24.5,0.0357409616471334
"138",38.5,48.5,0.0270285261355746
"139",39.5,48.5,0.0467356906761927
"140",37.5,49.5,0.0077703715556317
"141",38.5,49.5,0.0144212720220892
"142",39.5,49.5,0.035814568390707
"143",40.5,49.5,0.0391448115513321
"144",41.5,49.5,0.0485507156844166
"145",39.5,50.5,0.00746824319198481
"146",40.5,50.5,0.00256236808542863
"147",41.5,50.5,0.0057216431565151
"148",42.5,50.5,0.0133655344285732
"149",40.5,51.5,-0.0308264917880329
"150",41.5,51.5,-0.0243849788141619
"151",42.5,51.5,-0.00896077721650118
"152",41.5,52.5,-0.0217830158737424
"153",42.5,52.5,-0.00633222233953409
"154",42.5,53.5,0.00271771659091405
"155",42.5,54.5,-0.0148034966159208
"156",42.5,55.5,-0.0631217836862944
"157",38.5,23.5,-0.0659141239020963
"158",39.5,24.5,-0.0843269649226877
"159",39.5,25.5,-0.0624215965622578
"160",40.5,25.5,-0.041303719238343
"161",41.5,25.5,0.0126055162662761
"162",42.5,25.5,0.0489326353766573
"163",41.5,26.5,0.044664721840474
"164",42.5,26.5,0.0630625554555034
"165",35.5,48.5,0.0658891940837065
"166",36.5,48.5,0.0485462499220628
"167",37.5,48.5,0.0137733246251131
"168",40.5,48.5,0.0509785267088081
"169",41.5,48.5,0.0687374838466493
"170",42.5,49.5,0.0468027625536614
"171",38.5,24.5,-0.106790291336223
"172",38.5,25.5,-0.0981813501893274
"173",39.5,26.5,-0.0170907872541515
"174",40.5,26.5,0.00297497638011104
"175",40.5,27.5,0.0230975258367361
"176",41.5,27.5,0.0586216808669454
"177",42.5,27.5,0.0680324328688251
"178",42.5,28.5,0.0652471270434474
"179",35.5,47.5,0.0623724139020956
"180",36.5,47.5,0.0554633898754512
"181",37.5,47.5,0.035915155522972
"182",38.5,47.5,0.0511499061872838
"183",42.5,56.5,-0.113086056769333
"184",38.5,26.5,-0.0529816146992259
"185",39.5,27.5,0.00462525326111137
"186",39.5,28.5,0.01283941886985
"187",40.5,28.5,0.0248237597403845
"188",41.5,28.5,0.0572329408757961
"189",40.5,29.5,0.00726093145909217
"190",41.5,29.5,0.0348750444037952
"191",42.5,29.5,0.0497520605459167
"192",35.5,46.5,0.0653624902871932
"193",36.5,46.5,0.0746570921176873
"194",37.5,46.5,0.0747144475785163
"195",38.5,46.5,0.0978015345584826
"196",39.5,47.5,0.0606881029803534
"197",41.5,57.5,-0.21467314135562
"198",38.5,27.5,-0.0275648729578222
"199",38.5,28.5,-0.00871887027358414
"200",39.5,29.5,0.0142669906350892
"201",39.5,30.5,0.0113595254173924
"202",40.5,30.5,-0.0209593183406031
"203",41.5,30.5,-0.000347927596384894
"204",42.5,30.5,0.0256362753730027
"205",41.5,31.5,-0.0156766318983949
"206",42.5,31.5,0.0118964942186101
"207",35.5,45.5,0.0688808732244782
"208",36.5,45.5,0.0871259248058854
"209",37.5,45.5,0.0956744790924426
"210",38.5,45.5,0.123011393387296
"211",39.5,45.5,0.137854206815804
"212",39.5,46.5,0.106230853528289
"213",40.5,46.5,0.10461223633554
"214",40.5,47.5,0.0595117106753622
"215",42.5,57.5,-0.156253038194274
"216",38.5,29.5,0.0195024459051312
"217",38.5,30.5,0.0516281541804153
"218",39.5,31.5,0.0259169378227307
"219",40.5,31.5,-0.0250407815590325
"220",40.5,32.5,-0.0213067936522696
"221",41.5,32.5,-0.0206805137279543
"222",42.5,32.5,0.004209302002321
"223",41.5,33.5,-0.0329109673385967
"224",42.5,33.5,-0.00625724531327305
