origin,destination,travelTime,entryTime,exitTime,travelDistance
6,12,69.74500000000262,25328.887,25398.632,NaN
12,7,48.5570000000007,25330.295,25378.852,NaN
6,12,69.54000000000087,25330.323,25399.863,NaN
12,8,55.167999999997846,25330.791,25385.959,NaN
6,14,65.52999999999884,25330.859,25396.389,NaN
6,13,78.60800000000017,25330.891,25409.499,NaN
6,14,69.90699999999924,25331.555,25401.462,NaN
2,6,40.96399999999994,25331.802,25372.766,NaN
6,11,57.474999999998545,25332.059,25389.534,NaN
6,14,72.20899999999892,25332.187,25404.396,NaN
12,7,57.40200000000186,25332.831,25390.233,NaN
6,14,76.63899999999921,25333.091,25409.73,NaN
10,8,76.82600000000093,25333.261,25410.087,NaN
6,12,71.01300000000265,25333.459,25404.472,NaN
6,12,70.08099999999831,25333.991,25404.072,NaN
13,8,56.647000000000844,25334.284,25390.931,NaN
10,13,45.23699999999735,25334.329,25379.566,NaN
6,-1,73.80300000000352,25334.563,25408.366,NaN
6,12,81.28900000000067,25334.623,25415.912,NaN
6,14,80.37899999999718,25335.095,25415.474,NaN
6,7,115.22799999999916,25335.163,25450.391,NaN
6,11,70.75599999999758,25335.526,25406.282,NaN
12,6,62.39500000000044,25335.867,25398.262,NaN
10,14,47.51199999999881,25335.997,25383.509,NaN
10,13,53.542999999997846,25336.165,25389.708,NaN
6,13,82.3760000000002,25336.363,25418.739,NaN
6,14,79.24400000000242,25336.798,25416.042,NaN
10,13,51.10900000000038,25337.202,25388.311,NaN
6,12,75.75,25337.358,25413.108,NaN
6,14,81.31100000000151,25337.463,25418.774,NaN
6,14,82.71800000000076,25337.495,25420.213,NaN
6,14,81.84300000000076,25338.699,25420.542,NaN
6,7,36.41700000000128,25338.931,25375.348,NaN
6,14,87.3869999999988,25339.231,25426.618,NaN
6,13,75.80299999999988,25339.367,25415.17,NaN
6,13,83.54100000000108,25339.567,25423.108,NaN
6,13,83.6130000000012,25340.334,25423.947,NaN
10,11,31.64099999999962,25340.536,25372.177,NaN
6,13,80.50799999999799,25341.401,25421.909,NaN
6,7,44.73099999999977,25341.798,25386.529,NaN
13,7,67.89300000000003,25342.092,25409.985,NaN
12,8,50.3269999999975,25349.648,25399.975,NaN
6,11,42.82300000000032,25350.51,25393.333,NaN
12,8,49.45900000000256,25353.652,25403.111,NaN
6,7,42.931000000000495,25355.01,25397.941,NaN
6,3,37.88299999999799,25356.45,25394.333,NaN
12,6,61.663000000000466,25359.319,25420.982,NaN
6,1,21.88300000000163,25359.821,25381.704,NaN
1,7,45.98699999999735,25359.862,25405.849,NaN
6,3,24.708000000002357,25360.853,25385.561,NaN
6,1,31.675999999999476,25361.022,25392.698,NaN
6,3,32.74600000000282,25361.923,25394.669,NaN
12,7,49.793000000001484,25362.496,25412.289,NaN
6,3,29.74199999999837,25362.559,25392.301,NaN
12,7,57.409999999999854,25362.755,25420.165,NaN
12,7,54.8640000000014,25362.796,25417.66,NaN
6,3,33.41100000000006,25363.726,25397.137,NaN
14,3,73.35900000000038,25364.422,25437.781,NaN
6,3,26.102999999999156,25364.59,25390.693,NaN
12,6,60.125,25364.764,25424.889,NaN
6,3,24.03900000000067,25365.158,25389.197,NaN
12,3,78.25300000000061,25366.032,25444.285,NaN
1,8,31.90299999999843,25366.168,25398.071,NaN
6,8,32.91200000000026,25367.261,25400.173,NaN
12,3,77.29400000000169,25368.695,25445.989,NaN
6,12,70.0460000000021,25371.23,25441.276,NaN
12,6,68.79999999999927,25373.004,25441.804,NaN
6,3,63.57500000000073,25373.102,25436.677,NaN
13,6,62.94100000000253,25373.96,25436.901,NaN
12,7,37.31399999999849,25377.308,25414.622,NaN
12,3,56.20400000000154,25378.707,25434.911,NaN
6,14,64.66600000000108,25379.572,25444.238,NaN
3,12,81.57500000000073,25380.049,25461.624,NaN
12,8,47.250999999996566,25381.348,25428.599,NaN
13,7,59.75199999999677,25387.205,25446.957,NaN
10,3,43.22400000000198,25387.385,25430.609,NaN
1,6,83.52700000000186,25387.442,25470.969,NaN
10,3,45.32499999999709,25387.452,25432.777,NaN
12,5,65.49299999999857,25388.288,25453.781,NaN
10,3,48.78900000000067,25389.588,25438.377,NaN
12,8,56.067000000002736,25391.156,25447.223,NaN
14,8,60.27799999999843,25391.517,25451.795,NaN
12,5,66.26499999999942,25392.288,25458.553,NaN
12,8,53.39900000000125,25394.724,25448.123,NaN
12,7,53.300999999999476,25397.592,25450.893,NaN
12,7,55.46900000000096,25400.195,25455.664,NaN
6,8,76.7609999999986,25401.93,25478.691,NaN
6,14,58.159999999999854,25402.326,25460.486,NaN
12,7,51.02799999999843,25406.004,25457.032,NaN
12,7,51.92900000000009,25406.608,25458.537,NaN
12,8,48.595000000001164,25406.672,25455.267,NaN
13,9,54.582000000002154,25407.76,25462.342,NaN
12,8,50.828999999997905,25407.936,25458.765,NaN
12,10,41.172999999998865,25408.776,25449.949,NaN
1,12,64.6730000000025,25409.568,25474.241,NaN
12,8,50.25900000000183,25409.944,25460.203,NaN
12,8,51.69499999999971,25411.48,25463.175,NaN
12,8,54.23099999999977,25411.844,25466.075,NaN
13,3,79.03499999999985,25412.566,25491.601,NaN
12,3,69.71699999999691,25413.812,25483.529,NaN
12,7,53.26499999999942,25413.948,25467.213,NaN
12,7,56.900000000001455,25414.748,25471.648,NaN
12,1,60.56000000000131,25416.28,25476.84,NaN
12,8,55.3650000000016,25416.748,25472.113,NaN
12,7,66.04500000000189,25417.552,25483.597,NaN
3,12,64.58799999999974,25417.861,25482.449,NaN
12,7,58.809000000001106,25418.448,25477.257,NaN
3,7,42.47599999999875,25418.629,25461.105,NaN
12,8,65.64500000000044,25421.684,25487.329,NaN
11,3,67.13900000000285,25422.066,25489.205,NaN
12,7,61.34100000000035,25426.092,25487.433,NaN
6,14,68.33200000000215,25426.622,25494.954,NaN
12,7,61.54500000000189,25427.856,25489.401,NaN
12,6,66.83699999999953,25429.86,25496.697,NaN
3,13,69.44699999999648,25430.241,25499.688,NaN
11,13,28.03900000000067,25434.077,25462.116,NaN
11,14,20.463999999999942,25434.514,25454.978,NaN
13,7,61.681000000000495,25437.195,25498.876,NaN
3,6,29.42000000000189,25437.713,25467.133,NaN
3,9,66.57600000000093,25439.145,25505.721,NaN
1,12,85.07800000000134,25440.815,25525.893,NaN
1,-1,73.17799999999988,25443.368,25516.546,NaN
1,12,58.831999999998516,25445.572,25504.404,NaN
1,9,57.83299999999872,25447.754,25505.587,NaN
3,8,68.9340000000011,25449.929,25518.863,NaN
1,8,46.78600000000006,25450.757,25497.543,NaN
3,-1,52.405000000002474,25451.529,25503.934,NaN
13,8,57.6830000000009,25451.872,25509.555,NaN
13,8,62.684000000001106,25452.173,25514.857,NaN
